dt,dt_iso,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description,Data,Hora,Normal (kWh),Horario Economico (kWh),Autoconsumo (kWh)
1672588800.0,2023-01-01 16:00:00+00:00,local,13.3,13.17,11.68,13.48,1015.0,1014.5,991.4,95,1.77,5.42,100.0,heavy intensity rain,2023-01-01,16,1.326,0.0,0.0
1672592400.0,2023-01-01 17:00:00+00:00,local,11.83,11.55,11.72,12.32,1015.0,1015.1,991.9,95,1.67,3.76,100.0,moderate rain,2023-01-01,17,0.631,0.0,0.0
1672596000.0,2023-01-01 18:00:00+00:00,local,11.32,10.99,11.26,11.82,1016.0,1016.0,992.8,95,2.22,2.03,100.0,moderate rain,2023-01-01,18,0.595,0.0,0.0
1672599600.0,2023-01-01 19:00:00+00:00,local,10.73,10.34,10.57,11.77,1017.0,1017.0,993.7,95,2.71,1.3,100.0,moderate rain,2023-01-01,19,2.089,0.0,0.0
1672603200.0,2023-01-01 20:00:00+00:00,local,10.7,10.31,10.01,10.9,1018.0,1018.2,994.9,95,2.35,0.85,100.0,light rain,2023-01-01,20,1.635,0.0,0.0
1672606800.0,2023-01-01 21:00:00+00:00,local,10.72,10.33,9.79,11.21,1020.0,1019.4,996.0,95,2.7,0.5,90.0,light rain,2023-01-01,21,0.637,0.0,0.0
1672610400.0,2023-01-01 22:00:00+00:00,local,10.23,9.82,9.23,11.21,1021.0,1020.2,996.7,96,1.84,0.31,72.0,light rain,2023-01-01,22,0.0,0.577,0.0
1672614000.0,2023-01-01 23:00:00+00:00,local,10.2,9.78,9.23,10.82,1022.0,1021.1,997.6,96,1.72,0.26,47.0,light rain,2023-01-01,23,0.0,0.566,0.0
1672617600.0,2023-01-02 00:00:00+00:00,local,10.02,9.58,8.68,10.15,1022.0,1022.1,998.5,96,1.5,0.15,37.0,light rain,2023-01-02,0,0.0,0.639,0.0
1672621200.0,2023-01-02 01:00:00+00:00,local,9.51,9.51,8.12,9.59,1022.0,1022.0,998.4,96,0.34,0.24,34.0,light rain,2023-01-02,1,0.0,0.51,0.0
1672624800.0,2023-01-02 02:00:00+00:00,local,9.01,9.01,8.12,9.04,1023.0,1022.5,998.8,96,0.85,0.19,46.0,light rain,2023-01-02,2,0.0,0.375,0.0
1672628400.0,2023-01-02 03:00:00+00:00,local,8.92,8.92,7.72,9.04,1023.0,1023.2,999.5,96,0.93,0.22,44.0,light rain,2023-01-02,3,0.0,0.345,0.0
1672632000.0,2023-01-02 04:00:00+00:00,local,8.92,8.92,7.72,9.04,1024.0,1024.1,1000.3,96,1.15,0.37,44.0,light rain,2023-01-02,4,0.0,0.241,0.0
1672635600.0,2023-01-02 05:00:00+00:00,local,7.91,7.91,7.57,7.93,1025.0,1024.8,1001.0,95,0.94,0.47,57.0,light rain,2023-01-02,5,0.0,0.237,0.0
1672639200.0,2023-01-02 06:00:00+00:00,local,7.92,7.92,7.72,7.93,1025.0,1025.1,1001.2,96,1.21,0.14,55.0,light rain,2023-01-02,6,0.0,0.252,0.0
1672642800.0,2023-01-02 07:00:00+00:00,local,8.0,6.96,7.01,8.82,1026.0,1025.7,1001.8,96,1.89,,100.0,overcast clouds,2023-01-02,7,0.0,0.974,0.0
1672646400.0,2023-01-02 08:00:00+00:00,local,7.4,5.89,6.68,7.82,1026.0,1026.2,1002.3,95,2.31,,100.0,overcast clouds,2023-01-02,8,0.476,0.0,0.01
1672650000.0,2023-01-02 09:00:00+00:00,local,8.5,7.08,7.01,8.82,1027.0,1026.6,1002.7,96,2.45,,100.0,overcast clouds,2023-01-02,9,0.15,0.0,0.083
1672653600.0,2023-01-02 10:00:00+00:00,local,9.56,8.51,7.57,9.82,1027.0,1027.2,1003.5,96,2.21,,100.0,overcast clouds,2023-01-02,10,0.08,0.0,0.158
1672657200.0,2023-01-02 11:00:00+00:00,local,10.71,10.26,9.54,11.82,1028.0,1027.6,1004.1,93,1.55,,96.0,overcast clouds,2023-01-02,11,0.0,0.0,0.251
1672660800.0,2023-01-02 12:00:00+00:00,local,10.87,10.36,9.23,12.82,1028.0,1027.7,1004.2,90,1.25,,39.0,scattered clouds,2023-01-02,12,0.0,0.0,0.248
1672664400.0,2023-01-02 13:00:00+00:00,local,12.94,12.3,10.66,13.82,1027.0,1027.4,1004.0,77,1.12,,21.0,few clouds,2023-01-02,13,0.166,0.0,0.078
1672668000.0,2023-01-02 14:00:00+00:00,local,13.0,12.26,12.57,13.82,1027.0,1027.4,1004.0,73,1.1,,27.0,scattered clouds,2023-01-02,14,0.01,0.0,0.22
1672671600.0,2023-01-02 15:00:00+00:00,local,12.57,11.76,11.77,14.82,1028.0,1027.5,1004.1,72,1.15,,26.0,scattered clouds,2023-01-02,15,0.023,0.0,0.272
1672675200.0,2023-01-02 16:00:00+00:00,local,12.0,11.16,11.45,13.82,1028.0,1027.8,1004.3,73,1.1,,26.0,scattered clouds,2023-01-02,16,0.251,0.0,0.053
1672678800.0,2023-01-02 17:00:00+00:00,local,11.33,10.53,10.34,12.79,1028.0,1028.2,1004.7,77,1.33,,27.0,scattered clouds,2023-01-02,17,0.425,0.0,0.0
1672682400.0,2023-01-02 18:00:00+00:00,local,10.12,9.33,9.23,10.57,1029.0,1028.5,1004.9,82,0.83,,20.0,few clouds,2023-01-02,18,0.97,0.0,0.0
1672686000.0,2023-01-02 19:00:00+00:00,local,9.52,9.52,6.93,11.21,1029.0,1028.9,1005.2,85,0.5,,20.0,few clouds,2023-01-02,19,0.683,0.0,0.0
1672689600.0,2023-01-02 20:00:00+00:00,local,8.93,8.93,6.38,10.66,1029.0,1029.2,1005.5,87,0.61,,20.0,few clouds,2023-01-02,20,0.73,0.0,0.0
1672693200.0,2023-01-02 21:00:00+00:00,local,9.29,9.29,5.82,10.1,1030.0,1029.9,1006.1,87,0.98,,10.0,sky is clear,2023-01-02,21,0.847,0.0,0.0
1672696800.0,2023-01-02 22:00:00+00:00,local,8.86,8.53,4.71,9.54,1030.0,1030.2,1006.2,89,1.34,,5.0,sky is clear,2023-01-02,22,0.0,0.681,0.0
1672700400.0,2023-01-02 23:00:00+00:00,local,8.36,7.76,4.71,8.99,1030.0,1030.4,1006.3,89,1.52,,9.0,sky is clear,2023-01-02,23,0.0,0.56,0.0
1672704000.0,2023-01-03 00:00:00+00:00,local,8.82,8.39,4.71,9.04,1031.0,1030.6,1006.5,87,1.42,,43.0,scattered clouds,2023-01-03,0,0.0,0.521,0.0
1672707600.0,2023-01-03 01:00:00+00:00,local,7.87,6.55,4.23,7.93,1031.0,1030.8,1006.6,89,2.19,,63.0,broken clouds,2023-01-03,1,0.0,0.338,0.0
1672711200.0,2023-01-03 02:00:00+00:00,local,7.77,5.87,4.23,7.93,1031.0,1030.7,1006.5,90,2.95,,99.0,overcast clouds,2023-01-03,2,0.0,0.271,0.0
1672714800.0,2023-01-03 03:00:00+00:00,local,7.36,5.4,5.26,7.37,1031.0,1030.8,1006.5,91,2.91,,100.0,overcast clouds,2023-01-03,3,0.0,0.259,0.0
1672718400.0,2023-01-03 04:00:00+00:00,local,6.82,4.76,6.72,6.82,1031.0,1030.7,1006.4,92,2.9,,98.0,overcast clouds,2023-01-03,4,0.0,0.247,0.0
1672722000.0,2023-01-03 05:00:00+00:00,local,7.33,5.4,4.71,7.37,1031.0,1030.9,1006.6,92,2.86,,85.0,overcast clouds,2023-01-03,5,0.0,0.263,0.0
1672725600.0,2023-01-03 06:00:00+00:00,local,7.88,6.1,4.71,7.93,1031.0,1030.9,1006.6,89,2.8,,100.0,overcast clouds,2023-01-03,6,0.0,0.274,0.0
1672729200.0,2023-01-03 07:00:00+00:00,local,7.88,6.1,4.15,7.93,1032.0,1031.4,1007.1,88,2.8,,100.0,overcast clouds,2023-01-03,7,0.0,0.813,0.0
1672732800.0,2023-01-03 08:00:00+00:00,local,7.86,6.05,4.15,7.93,1032.0,1032.0,1007.6,86,2.83,,100.0,overcast clouds,2023-01-03,8,0.301,0.0,0.081
1672736400.0,2023-01-03 09:00:00+00:00,local,8.42,6.78,4.15,8.48,1033.0,1032.4,1008.2,86,2.74,,100.0,overcast clouds,2023-01-03,9,0.0,0.0,0.325
1672740000.0,2023-01-03 10:00:00+00:00,local,10.51,9.68,6.12,10.7,1034.0,1032.9,1009.0,79,2.61,,38.0,scattered clouds,2023-01-03,10,0.0,0.0,0.271
1672743600.0,2023-01-03 11:00:00+00:00,local,11.24,10.4,8.43,11.26,1034.0,1033.5,1009.8,76,2.01,,10.0,sky is clear,2023-01-03,11,0.0,0.0,0.261
1672747200.0,2023-01-03 12:00:00+00:00,local,12.78,11.89,9.45,12.93,1034.0,1033.8,1010.2,68,1.58,,34.0,scattered clouds,2023-01-03,12,0.368,0.0,0.614
1672750800.0,2023-01-03 13:00:00+00:00,local,12.83,12.0,10.1,12.93,1033.0,1033.3,1009.7,70,1.28,,66.0,broken clouds,2023-01-03,13,0.06,0.0,0.495
1672754400.0,2023-01-03 14:00:00+00:00,local,13.0,12.05,12.23,13.82,1033.0,1032.7,1009.2,65,1.19,,99.0,overcast clouds,2023-01-03,14,0.0,0.0,0.255
1672758000.0,2023-01-03 15:00:00+00:00,local,13.0,12.13,10.26,14.82,1032.0,1032.2,1008.7,68,1.23,,100.0,overcast clouds,2023-01-03,15,0.023,0.0,0.221
1672761600.0,2023-01-03 16:00:00+00:00,local,12.46,11.62,11.38,13.82,1032.0,1032.5,1009.0,71,0.9,,97.0,overcast clouds,2023-01-03,16,0.175,0.0,0.065
1672765200.0,2023-01-03 17:00:00+00:00,local,11.9,11.03,11.68,12.82,1033.0,1032.9,1009.3,72,0.97,,94.0,overcast clouds,2023-01-03,17,0.23,0.0,0.0
1672768800.0,2023-01-03 18:00:00+00:00,local,11.19,10.45,10.01,11.26,1033.0,1033.3,1009.6,80,0.51,,81.0,broken clouds,2023-01-03,18,0.858,0.0,0.0
1672772400.0,2023-01-03 19:00:00+00:00,local,10.11,9.32,9.23,10.15,1034.0,1033.7,1009.9,82,0.57,,47.0,scattered clouds,2023-01-03,19,0.843,0.0,0.0
1672776000.0,2023-01-03 20:00:00+00:00,local,9.43,9.43,7.72,9.59,1034.0,1033.8,1009.9,84,1.3,,35.0,scattered clouds,2023-01-03,20,0.463,0.0,0.0
1672779600.0,2023-01-03 21:00:00+00:00,local,9.9,9.23,7.57,10.15,1034.0,1034.3,1010.3,84,1.82,,19.0,few clouds,2023-01-03,21,0.854,0.0,0.0
1672783200.0,2023-01-03 22:00:00+00:00,local,9.39,8.9,7.01,9.59,1034.0,1034.4,1010.2,84,1.55,,18.0,few clouds,2023-01-03,22,0.0,1.514,0.0
1672786800.0,2023-01-03 23:00:00+00:00,local,9.37,8.86,6.45,9.59,1035.0,1034.7,1010.5,79,1.57,,10.0,sky is clear,2023-01-03,23,0.0,0.609,0.0
1672790400.0,2023-01-04 00:00:00+00:00,local,8.64,7.98,5.9,9.04,1035.0,1035.0,1010.8,83,1.61,,18.0,few clouds,2023-01-04,0,0.0,0.592,0.0
1672794000.0,2023-01-04 01:00:00+00:00,local,8.79,8.01,4.15,9.04,1035.0,1034.7,1010.4,82,1.75,,17.0,few clouds,2023-01-04,1,0.0,0.579,0.0
1672797600.0,2023-01-04 02:00:00+00:00,local,8.88,7.89,3.6,9.04,1034.0,1034.4,1010.1,77,2.0,,39.0,scattered clouds,2023-01-04,2,0.0,0.531,0.0
1672801200.0,2023-01-04 03:00:00+00:00,local,8.35,7.14,4.15,8.48,1034.0,1034.5,1010.2,81,2.15,,66.0,broken clouds,2023-01-04,3,0.0,0.264,0.0
1672804800.0,2023-01-04 04:00:00+00:00,local,8.87,7.71,4.71,9.04,1035.0,1034.6,1010.3,77,2.2,,23.0,few clouds,2023-01-04,4,0.0,0.266,0.0
1672808400.0,2023-01-04 05:00:00+00:00,local,8.87,7.68,4.71,9.04,1034.0,1034.5,1010.2,75,2.24,,25.0,scattered clouds,2023-01-04,5,0.0,0.265,0.0
1672812000.0,2023-01-04 06:00:00+00:00,local,8.87,7.59,4.15,9.04,1034.0,1034.0,1009.7,75,2.36,,44.0,scattered clouds,2023-01-04,6,0.0,0.299,0.0
1672815600.0,2023-01-04 07:00:00+00:00,local,6.4,4.65,4.15,6.82,1035.0,1034.3,1010.0,97,2.39,,56.0,broken clouds,2023-01-04,7,0.0,1.245,0.0
1672819200.0,2023-01-04 08:00:00+00:00,local,6.3,4.46,4.15,6.82,1035.0,1034.7,1010.3,97,2.48,,70.0,broken clouds,2023-01-04,8,0.369,0.0,0.092
1672822800.0,2023-01-04 09:00:00+00:00,local,9.95,8.61,4.15,10.15,1035.0,1035.1,1010.9,69,2.74,,53.0,broken clouds,2023-01-04,9,0.0,0.0,0.367
1672826400.0,2023-01-04 10:00:00+00:00,local,11.66,10.58,7.79,11.82,1036.0,1035.6,1011.7,65,2.78,,18.0,few clouds,2023-01-04,10,0.0,0.0,0.367
1672830000.0,2023-01-04 11:00:00+00:00,local,13.34,12.3,8.9,13.48,1036.0,1035.6,1011.9,60,2.24,,5.0,sky is clear,2023-01-04,11,0.0,0.0,0.361
1672833600.0,2023-01-04 12:00:00+00:00,local,13.97,13.15,11.68,14.04,1036.0,1035.4,1011.8,66,1.73,,4.0,sky is clear,2023-01-04,12,0.0,0.0,0.281
1672837200.0,2023-01-04 13:00:00+00:00,local,14.08,13.35,12.79,14.82,1035.0,1034.7,1011.2,69,1.34,,4.0,sky is clear,2023-01-04,13,0.0,0.0,0.252
1672840800.0,2023-01-04 14:00:00+00:00,local,14.65,13.84,12.49,15.82,1034.0,1034.0,1010.6,64,1.02,,3.0,sky is clear,2023-01-04,14,0.0,0.0,0.288
1672844400.0,2023-01-04 15:00:00+00:00,local,14.6,13.87,14.45,15.34,1034.0,1033.6,1010.2,67,0.65,,3.0,sky is clear,2023-01-04,15,0.204,0.0,0.324
1672848000.0,2023-01-04 16:00:00+00:00,local,14.5,13.81,13.6,14.79,1033.0,1033.6,1010.2,69,0.31,,6.0,sky is clear,2023-01-04,16,0.21,0.0,0.042
1672851600.0,2023-01-04 17:00:00+00:00,local,13.81,13.07,10.82,14.23,1033.0,1033.5,1010.0,70,0.39,,6.0,sky is clear,2023-01-04,17,0.304,0.0,0.0
1672855200.0,2023-01-04 18:00:00+00:00,local,12.77,12.01,11.21,12.93,1034.0,1033.6,1010.0,73,0.96,,1.0,sky is clear,2023-01-04,18,1.174,0.0,0.0
1672858800.0,2023-01-04 19:00:00+00:00,local,12.09,11.31,9.72,12.37,1034.0,1033.7,1009.9,75,1.57,,2.0,sky is clear,2023-01-04,19,1.826,0.0,0.0
1672862400.0,2023-01-04 20:00:00+00:00,local,11.56,10.83,9.45,11.82,1034.0,1033.5,1009.5,79,1.88,,0.0,sky is clear,2023-01-04,20,1.262,0.0,0.0
1672866000.0,2023-01-04 21:00:00+00:00,local,11.06,10.44,8.99,11.26,1033.0,1033.4,1009.3,85,1.98,,1.0,sky is clear,2023-01-04,21,0.808,0.0,0.0
1672869600.0,2023-01-04 22:00:00+00:00,local,10.46,9.81,8.12,10.7,1033.0,1033.2,1009.0,86,1.99,,0.0,sky is clear,2023-01-04,22,0.0,0.662,0.0
1672873200.0,2023-01-04 23:00:00+00:00,local,9.89,9.14,7.57,10.15,1033.0,1033.0,1008.8,84,1.91,,0.0,sky is clear,2023-01-04,23,0.0,0.472,0.0
1672876800.0,2023-01-05 00:00:00+00:00,local,10.26,9.43,6.72,10.7,1032.0,1032.6,1008.4,80,2.06,,0.0,sky is clear,2023-01-05,0,0.0,0.418,0.0
1672880400.0,2023-01-05 01:00:00+00:00,local,6.21,4.55,5.72,7.79,1032.0,1032.1,1007.9,92,2.25,,0.0,sky is clear,2023-01-05,1,0.0,0.361,0.0
1672884000.0,2023-01-05 02:00:00+00:00,local,7.69,6.21,7.32,8.34,1032.0,1031.5,1007.3,91,2.34,,0.0,sky is clear,2023-01-05,2,0.0,0.357,0.0
1672887600.0,2023-01-05 03:00:00+00:00,local,7.69,6.17,7.32,7.82,1031.0,1031.2,1007.0,93,2.39,,0.0,sky is clear,2023-01-05,3,0.0,0.319,0.0
1672891200.0,2023-01-05 04:00:00+00:00,local,6.77,5.16,6.72,7.23,1031.0,1030.8,1006.6,94,2.3,,0.0,sky is clear,2023-01-05,4,0.0,0.308,0.0
1672894800.0,2023-01-05 05:00:00+00:00,local,5.15,3.32,4.72,6.77,1030.0,1030.6,1006.4,95,2.23,,0.0,sky is clear,2023-01-05,5,0.0,0.303,0.0
1672898400.0,2023-01-05 06:00:00+00:00,local,5.85,4.08,5.72,7.23,1030.0,1030.4,1006.2,94,2.3,,0.0,sky is clear,2023-01-05,6,0.0,0.308,0.0
1672902000.0,2023-01-05 07:00:00+00:00,local,6.67,5.05,6.21,6.82,1030.0,1030.6,1006.3,95,2.29,,1.0,sky is clear,2023-01-05,7,0.0,0.829,0.0
1672905600.0,2023-01-05 08:00:00+00:00,local,5.75,4.01,5.66,6.12,1030.0,1030.7,1006.4,94,2.24,,2.0,sky is clear,2023-01-05,8,0.381,0.0,0.094
1672909200.0,2023-01-05 09:00:00+00:00,local,7.48,5.65,6.21,7.82,1031.0,1030.8,1006.7,92,2.75,,2.0,sky is clear,2023-01-05,9,0.0,0.0,0.335
1672912800.0,2023-01-05 10:00:00+00:00,local,12.19,10.98,8.34,12.37,1031.0,1030.9,1007.0,58,2.46,,0.0,sky is clear,2023-01-05,10,0.336,0.0,0.616
1672916400.0,2023-01-05 11:00:00+00:00,local,13.34,12.24,9.45,13.48,1031.0,1030.8,1007.2,58,2.02,,0.0,sky is clear,2023-01-05,11,0.0,0.0,0.337
1672920000.0,2023-01-05 12:00:00+00:00,local,13.96,13.0,10.82,14.04,1030.0,1030.0,1006.5,61,1.76,,0.0,sky is clear,2023-01-05,12,0.057,0.0,0.424
1672923600.0,2023-01-05 13:00:00+00:00,local,14.46,13.58,11.93,14.59,1029.0,1029.1,1005.7,62,1.61,,0.0,sky is clear,2023-01-05,13,0.0,0.0,0.343
1672927200.0,2023-01-05 14:00:00+00:00,local,14.69,13.96,14.45,15.82,1028.0,1028.4,1005.1,67,1.47,,0.0,sky is clear,2023-01-05,14,0.0,0.0,0.292
1672930800.0,2023-01-05 15:00:00+00:00,local,14.18,13.14,13.04,15.82,1028.0,1027.9,1004.6,57,1.35,,2.0,sky is clear,2023-01-05,15,0.0,0.0,0.293
1672934400.0,2023-01-05 16:00:00+00:00,local,14.11,13.14,11.77,15.82,1028.0,1027.7,1004.3,60,0.83,,0.0,sky is clear,2023-01-05,16,0.247,0.0,0.049
1672938000.0,2023-01-05 17:00:00+00:00,local,12.46,11.46,11.21,13.82,1028.0,1027.5,1004.1,65,1.02,,0.0,sky is clear,2023-01-05,17,0.321,0.0,0.0
1672941600.0,2023-01-05 18:00:00+00:00,local,11.6,10.62,9.72,11.82,1028.0,1027.5,1004.0,69,0.53,,0.0,sky is clear,2023-01-05,18,0.89,0.0,0.0
1672945200.0,2023-01-05 19:00:00+00:00,local,10.49,9.5,8.72,10.7,1028.0,1027.6,1003.7,73,1.03,,2.0,sky is clear,2023-01-05,19,1.752,0.0,0.0
1672948800.0,2023-01-05 20:00:00+00:00,local,9.58,9.11,7.79,9.82,1028.0,1028.1,1004.1,78,1.56,,0.0,sky is clear,2023-01-05,20,0.817,0.0,0.0
1672952400.0,2023-01-05 21:00:00+00:00,local,9.0,8.16,7.57,9.04,1028.0,1028.5,1004.4,81,1.85,,0.0,sky is clear,2023-01-05,21,1.256,0.0,0.0
1672956000.0,2023-01-05 22:00:00+00:00,local,8.48,7.5,6.12,8.82,1028.0,1028.3,1004.1,83,1.91,,0.0,sky is clear,2023-01-05,22,0.0,2.771,0.0
1672959600.0,2023-01-05 23:00:00+00:00,local,7.1,5.92,3.6,7.82,1028.0,1028.0,1003.8,92,1.89,,1.0,sky is clear,2023-01-05,23,0.0,2.215,0.0
1672963200.0,2023-01-06 00:00:00+00:00,local,7.87,6.85,5.34,7.93,1028.0,1027.8,1003.6,85,1.85,,2.0,sky is clear,2023-01-06,0,0.0,1.78,0.0
1672966800.0,2023-01-06 01:00:00+00:00,local,6.69,5.52,4.79,6.82,1027.0,1027.3,1003.1,92,1.82,,5.0,sky is clear,2023-01-06,1,0.0,0.95,0.0
1672970400.0,2023-01-06 02:00:00+00:00,local,6.59,5.45,4.23,6.82,1027.0,1027.0,1002.9,93,1.77,,11.0,few clouds,2023-01-06,2,0.0,0.713,0.0
1672974000.0,2023-01-06 03:00:00+00:00,local,6.77,5.47,5.66,6.82,1027.0,1027.0,1003.0,95,1.96,,18.0,few clouds,2023-01-06,3,0.0,0.47,0.0
1672977600.0,2023-01-06 04:00:00+00:00,local,6.29,4.87,2.49,6.82,1027.0,1026.8,1002.8,94,2.0,,39.0,scattered clouds,2023-01-06,4,0.0,0.497,0.0
1672981200.0,2023-01-06 05:00:00+00:00,local,5.57,3.86,3.04,5.82,1026.0,1026.3,1002.4,94,2.18,,60.0,broken clouds,2023-01-06,5,0.0,0.443,0.0
1672984800.0,2023-01-06 06:00:00+00:00,local,5.7,3.99,3.9,5.82,1026.0,1025.8,1001.9,90,2.2,,42.0,scattered clouds,2023-01-06,6,0.0,0.792,0.0
1672988400.0,2023-01-06 07:00:00+00:00,local,5.7,3.92,5.1,5.82,1026.0,1026.2,1002.3,92,2.28,,54.0,broken clouds,2023-01-06,7,0.0,1.763,0.0
1672992000.0,2023-01-06 08:00:00+00:00,local,5.69,3.84,3.6,5.82,1027.0,1026.5,1002.6,89,2.36,,66.0,broken clouds,2023-01-06,8,0.947,0.0,0.074
1672995600.0,2023-01-06 09:00:00+00:00,local,4.64,2.16,3.6,5.82,1027.0,1026.6,1002.7,94,2.88,,74.0,broken clouds,2023-01-06,9,0.245,0.0,0.406
1672999200.0,2023-01-06 10:00:00+00:00,local,5.7,3.3,5.7,6.82,1027.0,1026.9,1003.2,92,3.06,,75.0,broken clouds,2023-01-06,10,0.164,0.0,0.421
1673002800.0,2023-01-06 11:00:00+00:00,local,8.48,6.87,8.48,8.82,1027.0,1027.1,1003.5,91,2.71,,86.0,overcast clouds,2023-01-06,11,0.052,0.0,0.449
1673006400.0,2023-01-06 12:00:00+00:00,local,10.21,9.4,10.15,10.82,1027.0,1026.9,1003.4,81,2.68,,89.0,overcast clouds,2023-01-06,12,0.067,0.0,0.394
1673010000.0,2023-01-06 13:00:00+00:00,local,10.79,10.07,10.57,12.01,1026.0,1026.0,1002.5,82,2.81,,90.0,overcast clouds,2023-01-06,13,0.018,0.0,0.436
1673013600.0,2023-01-06 14:00:00+00:00,local,11.4,10.71,11.26,13.12,1025.0,1024.9,1001.5,81,3.6,,96.0,overcast clouds,2023-01-06,14,0.0,0.0,0.444
1673017200.0,2023-01-06 15:00:00+00:00,local,10.98,10.27,10.7,13.82,1024.0,1024.4,1001.0,82,3.81,,97.0,overcast clouds,2023-01-06,15,0.222,0.0,0.223
1673020800.0,2023-01-06 16:00:00+00:00,local,11.44,10.75,10.1,13.82,1024.0,1024.0,1000.6,81,3.56,,97.0,overcast clouds,2023-01-06,16,0.457,0.0,0.046
1673024400.0,2023-01-06 17:00:00+00:00,local,10.88,10.22,10.66,12.82,1024.0,1023.9,1000.5,84,3.25,,83.0,broken clouds,2023-01-06,17,0.586,0.0,0.0
1673028000.0,2023-01-06 18:00:00+00:00,local,10.87,10.18,10.1,12.82,1024.0,1023.9,1000.3,83,3.19,,73.0,broken clouds,2023-01-06,18,1.821,0.0,0.0
1673031600.0,2023-01-06 19:00:00+00:00,local,10.79,10.04,10.01,11.82,1024.0,1023.7,1000.1,81,3.37,,49.0,scattered clouds,2023-01-06,19,1.046,0.0,0.0
1673035200.0,2023-01-06 20:00:00+00:00,local,10.76,9.98,9.54,11.82,1023.0,1023.7,1000.1,80,3.38,,57.0,broken clouds,2023-01-06,20,0.413,0.0,0.0
1673038800.0,2023-01-06 21:00:00+00:00,local,10.28,9.5,9.54,11.82,1023.0,1023.6,1000.1,82,3.32,,88.0,overcast clouds,2023-01-06,21,0.36,0.0,0.0
1673042400.0,2023-01-06 22:00:00+00:00,local,10.85,10.13,9.54,12.82,1023.0,1023.2,999.7,82,4.57,0.12,88.0,light rain,2023-01-06,22,0.0,0.369,0.0
1673046000.0,2023-01-06 23:00:00+00:00,local,10.94,10.26,9.54,13.82,1022.0,1022.7,999.2,83,5.07,0.27,95.0,light rain,2023-01-06,23,0.0,0.375,0.0
