temp,feels_like,temp_min,temp_max,humidity,rain_1h,clouds_all,Normal (kWh),Horario Economico (kWh),Autoconsumo (kWh),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),broken clouds,few clouds,heavy intensity rain,light rain,moderate rain,overcast clouds,scattered clouds,sky is clear,Injeçao na rede (kWh)
20.66,20.77,18.12,20.7,76,0.0,0,0.682,0.0,0.0,13.7,17.4,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
11.34,10.75,10.34,12.88,85,0.0,100,0.379,0.0,0.0,15.5,9.7,0.358,12.0,0.0,12.0,0.0,138.5,0.9,0.0,0.9,0.0,10.6,0,0,0,0,0,1,0,0,None
10.39,9.29,9.23,11.68,69,0.0,0,0.0,0.37,0.0,23.8,8.7,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
16.74,16.79,13.72,18.99,89,0.0,78,0.0,0.324,0.0,7.6,18.8,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,None
13.56,13.27,11.72,16.21,88,0.0,0,0.0,0.444,0.0,12.2,15.6,0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
12.5,11.03,12.01,14.0,47,0.0,79,0.542,0.0,0.086,35.3,14.5,0.287,375.0,256.0,119.0,563.7,621.7,304.9,208.2,96.8,563.7,505.5,1,0,0,0,0,0,0,0,None
18.92,18.93,16.72,19.04,79,0.0,98,0.424,0.0,0.012,17.6,20.5,0.282,30.0,6.0,24.0,46.0,133.7,4.4,0.9,3.5,10.1,19.6,0,0,0,0,0,1,0,0,None
19.01,19.42,17.72,21.93,94,0.17,97,0.331,0.0,0.065,18.4,18.5,0.21,149.0,11.0,138.0,26.0,581.2,122.9,9.1,113.8,26.0,479.4,0,0,0,1,0,0,0,0,None
5.69,3.85,2.72,5.7,82,0.0,99,0.0,0.231,0.0,12.6,3.7,0.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,None
12.41,11.82,12.37,13.12,81,0.0,100,0.235,0.0,0.084,21.2,12.1,0.281,229.0,112.0,117.0,310.9,507.1,188.2,92.1,96.2,310.9,416.8,0,0,0,0,0,1,0,0,None
14.57,14.56,13.99,14.79,95,3.78,100,0.322,0.0,0.048,37.1,13.4,0.43,3.0,0.0,3.0,0.0,88.7,6.6,0.0,6.6,0.0,194.9,0,0,0,0,1,0,0,0,None
19.35,19.4,17.72,22.88,79,0.0,0,0.0,0.179,0.002,9.0,23.4,0.097,8.0,2.0,6.0,26.0,43.9,19.6,4.9,14.7,56.4,107.9,0,0,0,0,0,0,0,1,None
8.55,7.25,7.57,9.72,93,0.49,100,0.0,0.269,0.0,29.2,9.4,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,None
10.68,10.23,8.6,11.21,93,0.0,33,0.479,0.0,0.0,13.0,9.4,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,None
20.75,20.58,18.72,23.99,65,0.0,0,0.0,0.26,0.0,26.3,21.3,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
14.07,13.96,13.12,14.72,93,3.36,100,0.0,0.265,0.0,48.6,12.7,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,None
19.62,20.04,19.23,20.57,92,3.31,99,0.334,0.0,0.03,36.4,18.6,0.422,59.0,17.0,42.0,94.4,249.6,30.6,8.8,21.8,94.4,129.4,0,0,0,0,1,0,0,0,None
16.28,16.39,15.9,16.72,93,3.27,100,0.248,0.0,0.033,46.1,14.5,0.43,6.0,0.0,6.0,0.0,97.0,13.1,0.0,13.1,0.0,211.0,0,0,0,0,1,0,0,0,None
16.26,16.34,15.66,16.72,92,0.0,100,0.48,0.0,0.0,15.8,15.3,0.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,None
18.31,17.76,15.72,19.79,60,0.0,44,0.211,0.0,0.058,14.4,15.7,0.333,244.0,188.0,56.0,658.0,398.3,182.2,140.4,41.8,658.0,297.4,0,0,0,0,0,0,1,0,None
18.76,18.86,14.72,19.04,83,0.0,85,0.0,0.53,0.0,9.7,17.6,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,None
12.71,12.28,11.68,13.68,86,0.0,19,0.0,0.618,0.0,16.9,14.5,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,None
10.87,9.76,8.72,13.44,67,0.0,0,0.0,1.118,0.0,22.0,8.7,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
20.04,19.93,17.72,23.43,70,0.0,0,0.328,0.0,0.0,29.5,27.8,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,None
12.96,12.45,12.57,13.6,82,0.0,92,0.0,0.0,0.378,14.4,11.5,0.422,188.0,84.0,104.0,253.2,468.4,211.3,94.4,116.9,253.2,526.6,0,0,0,0,0,1,0,0,None
